Name;Type;RA;Dec;Mag;Mag 2;Sep
Eta Cas,24 Cas,SAO21732,HR219,HD4614;Mult;00h 49m 06s;+57°48,9';3,4;7,4;11,6
65 Psc,SAO74295,HR230,HD4757;Dbl;00h 49m 53s;+27°42,6';7,0;7,0;4,5
Psi Psc,74 Psc,SAO74482,HR310,HD6456;Triple;01h 05m 41s;+21°28,3';5,3;5,6;29,9
Zet Psc,86 Psc,SAO109739,HR361,HD7344;Mult;01h 13m 44s;+07°34,5';5,2;5,3;0,1
Gam Ari,5 Ari,SAO92680,HR545,HD11503;Triple;01h 53m 32s;+19°17,7';4,8;4,9;7,8
Lam Ari,9 Ari,SAO75051,HR569,HD11973;Mult;01h 57m 56s;+23°35,7';4,8;7,3;37,4
Alp Psc,113 Psc,HR595,HD12446;Dbl;02h 02m 03s;+02°45,8';5,2;6,2;2,0
Gam And,57 And,SAO37734,HR603,HD12533;Mult;02h 03m 54s;+42°19,7';2,3;5,1;9,6
6 Tri,SAO55347,HR642,HD13480;Dbl;02h 12m 22s;+30°18,1';4,9;6,5;3,8
Alp UMi,1 UMi,SAO308,HR424,HD8890;Mult;02h 31m 49s;+89°15,8';2,0;8,8;18,4
Gam Cet,86 Cet,SAO110707,HR804,HD16970;Triple;02h 43m 18s;+03°14,1';3,5;6,2;2,8
Eta Per,15 Per,SAO23655,HR834,HD17506;Mult;02h 50m 42s;+55°53,7';3,8;8,5;28,3
Struve 331;Dbl;03h 00m 54s;+52°21,0';5,3;6,7;12,3
32 Eri,SAO130805,HR1211,HD24554;Triple;03h 54m 17s;-02°57,1';6,1;7,6;6,8
Chi Tau,59 Tau,SAO76573,HR1369,HD27638;Triple;04h 22m 35s;+25°37,7';5,4;8,4;19,4
1 Cam,SAO24672,HR1417,HD28446;Triple;04h 32m 02s;+53°54,6';5,8;6,9;10,3
55 Eri,SAO131442,HR1505,HD30020;Dbl;04h 43m 35s;-08°47,6';6,8;6,9;9,3
Bet Ori,19 Ori,SAO131907,HR1713,HD34085;Mult;05h 14m 32s;-08°12,1';0,1;6,6;9,5
118 Tau,SAO77201,HR1821,HD35943;Triple;05h 29m 16s;+25°09,0';5,5;6,3;4,8
Del Ori,34 Ori,SAO132221,HR1851,HD36485;Triple;05h 32m 00s;-00°17,0';6,8;11,4;51,7
Struve 747;Dbl;05h 35m 00s;-06°00,0';4,8;5,7;35,8
Lam Ori,39 Ori,SAO112921,HR1879,HD36861;Mult;05h 35m 08s;+09°56,0';3,5;5,5;4,4
The Ori,41 Ori,SAO132314,HR1895,HD37022;Mult;05h 35m 17s;-05°23,3';5,1;5,2;117,0
Iot Ori,44 Ori,SAO132323,HR1899,HD37043;Triple;05h 35m 26s;-05°54,6';2,8;7,3;11,4
The Ori,43 Ori,SAO132321,HR1897,HD37041;Mult;05h 35m 23s;-05°25,0';5,1;5,2;117,0
Sig Ori,48 Ori,SAO132406,HR1931,HD37468;Mult;05h 38m 45s;-02°36,0';3,8;4,6;0,2
Zet Ori,50 Ori,SAO132444,HR1948,HD37742;Triple;05h 40m 46s;-01°56,5';2,0;4,2;2,4
Gam Lep,13 Lep,SAO170759,HR1983,HD38393;Triple;05h 44m 28s;-22°26,8';3,6;6,1;96,5
The Aur,37 Aur,SAO58636,HR2095,HD40312;Mult;05h 59m 43s;+37°12,7';2,6;7,1;3,5
Eps Mon,8 Mon,SAO113810,HR2298,HD44769;Triple;06h 23m 46s;+04°35,5';4,4;6,6;12,9
Bet Mon,11 Mon,SAO133316,HR2356,HD45725;Mult;06h 28m 49s;-07°02,0';4,6;5,1;7,1
12 Lyn,SAO25939,HR2470,HD48250;Mult;06h 46m 14s;+59°26,5';4,9;5,5;1,7
Eps CMa,21 CMa,SAO172676,HR2618,HD52089;Dbl;06h 58m 38s;-28°58,3';1,5;7,9;7,5
Del Gem,55 Gem,SAO79294,HR2777,HD56986;Triple;07h 20m 07s;+21°58,9';3,5;5,5;0,2
19 Lyn,SAO26311,HR2783,HD57102;Mult;07h 22m 51s;+55°17,0';6,5;7,5;15,1
Alp Gem,66 Gem,SAO60198,HR2890,HD60178;Mult;07h 34m 36s;+31°53,3';2,9;3,8;2,0
Kap Pup;Dbl;07h 38m 18s;-25°21,8';4,7;5,1;0,2
Zet Cnc,16 Cnc,SAO97645,HR3208,HD68257;Mult;08h 12m 13s;+17°38,8';5,6;6,0;0,9
Iot Cnc,48 Cnc,SAO80415,HR3474,HD74738;Dbl;08h 46m 40s;+28°45,9';6,6;9,1;30,4
38 Lyn,SAO61391,HR3690,HD80081;Mult;09h 18m 51s;+36°48,1';3,8;5,9;2,7
Alp Leo,32 Leo,SAO98967,HR3982,HD87901;Mult;10h 08m 22s;+11°58,0';1,4;8,2;177,6
Gam Leo,41 Leo,SAO81298,HR4057,HD89484;Mult;10h 19m 58s;+19°50,5';2,6;3,8;4,5
54 Leo,SAO81583,HR4259,HD94601;Dbl;10h 55m 37s;+24°45,0';4,5;6,4;6,5
N Hydrae;Dbl;11h 32m 16s;-29°15,7';5,8;5,9;9,3
Del Crv,7 Crv,SAO157323,HR4757,HD108767;Dbl;12h 29m 52s;-16°30,9';3,0;8,2;24,4
24 Com,SAO100159,HR4791,HD109510;Dbl;12h 35m 06s;+18°22,6';6,6;8,1;20,2
Gam Vir,29 Vir,SAO138917,HR4825,HD110379;Mult;12h 41m 40s;-01°27,0';3,6;3,8;4,1
32 Cam;Triple;12h 49m 07s;+83°25,0';5,8;6,3;21,6
Alp CVn,12 CVn,SAO63256,HR4914,HD112412;Dbl;12h 56m 00s;+38°18,8';5,6;8,3;19,4
Zet UMa,79 UMa,SAO28737,HR5054,HD116656;Mult;13h 23m 56s;+54°55,5';2,3;4,0;
Kap Boo,17 Boo,SAO29045,HR5328,HD124674;Dbl;14h 13m 28s;+51°47,2';6,7;8,9;13,4
Iot Boo,21 Boo,SAO29071,HR5350,HD125161;Triple;14h 16m 10s;+51°22,0';4,8;8,2;38,7
Pi Boo,29 Boo,SAO101138,HR5475,HD129174;Triple;14h 40m 44s;+16°25,0';4,9;5,8;5,7
Eps Boo,36 Boo,HR5505,HD129988;Triple;14h 44m 59s;+27°04,5';5,1;7,7;2,8
Alp Lib,8 Lib,SAO158836,HR5530,HD130819;Triple;14h 50m 41s;-15°59,8';5,2;5,5;
Xi Boo,37 Boo,SAO101250,HR5544,HD131156;Mult;14h 51m 23s;+19°06,0';4,5;6,7;7,2
Del Boo,49 Boo,SAO64589,HR5681,HD135722;Dbl;15h 15m 30s;+33°18,8';3,5;7,9;104,9
Mu Boo,51 Boo,SAO64686,HR5733,HD137391;Triple;15h 24m 29s;+37°22,6';4,3;6,5;108,9
Del Ser,13 Ser,SAO101623,HR5788,HD138917;Mult;15h 34m 48s;+10°32,2';3,8;4,9;3,9
Zet CrB,7 CrB,SAO64833,HR5833,HD139891;Dbl;15h 39m 22s;+36°38,2';6,0;7,0;6,4
Xi Sco,SAO159665,HR5977,HD144069;Mult;16h 04m 22s;-11°22,3';5,1;5,3;1,2
Struve 1999;Dbl;16h 04m 24s;-11°27,0';7,4;8,0;10,5
Bet Sco,8 Sco,SAO159682,HR5984,HD144217;Mult;16h 05m 26s;-19°48,3';2,6;3,9;
Kap Her,7 Her,SAO101951,HR6008,HD145001;Triple;16h 08m 04s;+17°02,8';5,0;6,2;28,1
Nu Sco,14 Sco,SAO159763,HR6026,HD145501;Mult;16h 11m 59s;-19°27,0';6,3;8,8;41,1
Sig CrB,17 CrB,SAO65165,HR6063,HD146361;Mult;16h 14m 41s;+33°51,5';5,6;6,6;6,4
16 Dra,SAO30012,HR6184,HD150100;Mult;16h 36m 12s;+52°54,0';5,5;5,5;90,3
Mu Dra,21 Dra,SAO30239,HR6369,HD154905;Triple;17h 05m 20s;+54°28,2';5,8;5,9;2,0
Alp Her,64 Her,SAO102680,HR6406,HD156014;Mult;17h 14m 39s;+14°23,4';3,5;5,7;4,9
Del Her,65 Her,SAO84951,HR6410,HD156164;Mult;17h 15m 02s;+24°50,3';3,1;8,7;8,5
36 Oph,SAO185199,HR6401,HD155885;Mult;17h 15m 21s;-26°36,1';5,1;5,1;4,6
Omi Oph,39 Oph,SAO185238,HR6424,HD156349;Dbl;17h 18m 01s;-24°17,2';5,2;6,7;10,2
Rho Her,75 Her,SAO66000,HR6484,HD157778;Triple;17h 23m 41s;+37°08,8';5,5;6,5;4,2
Nu Dra,24 Dra,SAO30447,HR6554,HD159541;Dbl;17h 32m 11s;+55°11,0';4,9;4,9;62,3
Psi Dra,31 Dra,SAO8890,HR6636,HD162003;Mult;17h 41m 56s;+72°08,9';4,6;5,8;30,2
40 Dra,SAO8994,HR6809,HD166865;Triple;18h 00m 03s;+80°00,0';6,0;6,4;19,3
95 Her,SAO85647,HR6729,HD164668;Dbl;18h 01m 30s;+21°35,7';5,2;5,3;6,3
70 Oph,SAO123107,HR6752,HD165341;Mult;18h 05m 27s;+02°30,0';4,0;5,8;1,9
Eps Lyr,4 Lyr,SAO67310,HR7051,HD173582;Mult;18h 44m 20s;+39°40,2';5,1;5,1;209,3
Zet Lyr,6 Lyr,SAO67321,HR7056,HD173648;Mult;18h 44m 46s;+37°36,3';4,4;5,8;43,7
Bet Lyr,10 Lyr,SAO67451,HR7106,HD174638;Mult;18h 50m 05s;+33°21,7';3,5;8,7;45,7
Struve 2404;Dbl;18h 50m 48s;+10°59,0';6,9;8,0;3,6
Otto Struve 525;Mult;18h 54m 52s;+33°58,1';6,0;7,0;45,4
The Ser,63 Ser,SAO124068,HR7141,HD175638;Triple;18h 56m 13s;+04°12,2';4,6;5,0;22,2
Bet Cyg,6 Cyg,SAO87301,HR7417,HD183912;Triple;19h 30m 43s;+27°57,5';3,1;5,1;34,7
57 Aql,SAO143898,HR7593,HD188293;Dbl;19h 54m 38s;-08°13,6';5,7;6,5;35,7
31 Cyg,SAO49337,HR7735,HD192577;Mult;20h 13m 38s;+46°44,4';3,8;4,8;337,5
Alp Cap,6 Cap,SAO163427,HR7754,HD192947;Mult;20h 18m 03s;-12°32,6';3,6;4,0;377,7
Bet Cap,9 Cap,SAO163481,HR7776,HD193495;Mult;20h 21m 01s;-14°46,8';3,1;3,4;
Gam Del,12 Del,SAO106475,HR7947,HD197963;Dbl;20h 46m 39s;+16°07,4';5,1;6,1;9,8
61 Cyg,SAO70919,HR8085,HD201091;Mult;21h 06m 55s;+38°44,7';5,2;6,0;28,7
Bet Cep,8 Cep,SAO10057,HR8238,HD205021;Triple;21h 28m 40s;+70°33,6';3,2;7,8;13,4
Struve 2816;Dbl;21h 39m 00s;+57°29,0';5,7;8,1;11,8
Eps Peg,8 Peg,SAO127029,HR8308,HD206778;Triple;21h 44m 11s;+09°52,5';2,4;8,5;142,5
Xi Cep,17 Cep,SAO19827,HR8417,HD209790;Triple;22h 03m 47s;+64°37,6';4,3;6,3;7,7
Zet Aqr,55 Aqr,SAO146107,HR8558,HD213051;Triple;22h 28m 50s;-00°01,2';4,6;4,8;1,8
Del Cep,27 Cep,SAO34508,HR8571,HD213306;Triple;22h 29m 10s;+58°24,9';3,8;6,2;40,8
8 Lac,SAO72509,HR8603,HD214168;Mult;22h 35m 52s;+39°38,0';5,7;6,4;22,4
94 Aqr,SAO165625,HR8866,HD219834;Triple;23h 19m 07s;-13°27,5';5,1;7,5;0,2
Sig Cas,8 Cas,SAO35947,HR9071,HD224572;Triple;23h 59m 01s;+55°45,3';4,9;7,1;2,8