ID;Name;Type;RA;Dec;Mag;Mag 2;Sep
Theta 1 Ser;SAO124068, HD175638, the Ser, 63 Ser,Alya, HR7141;Triple;18h 56m 13s;+04°12,2';4,6;5,0;22,2
Sigma CrB;SAO65165, HD146361, sig CrB, 17 CrB, HR6063;Mult;16h 14m 41s;+33°51,5';5,6;6,6;6,4
HR6043;SAO65129, HD145802;Triple;16h 11m 40s;+33°20,5';6,3;10,6;5,4
HR5816;SAO140672, HD139461;Dbl;15h 38m 40s;-08°47,4';6,5;6,7;11,9
HD 139691;SAO 64821;Mult+Star+UVSrc;15h 38m 13s;+36°14,8';7,8;;
Alkalurops;SAO64686, HD137391, mu Boo, 51 Boo, Alkalurops, HR5733, Mu 1 Boo;Triple;15h 24m 29s;+37°22,6';4,3;6,5;108,9
Delta Boo;SAO64589, HD135722, del Boo, 49 Boo, HR5681;Dbl;15h 15m 30s;+33°18,8';3,5;7,9;104,9
Zuben Elgenubi;SAO158840, HD130841, alp Lib, 9 Lib,Zubenelgenubi, HR5531;Triple;14h 50m 53s;-16°02,5';2,8;3,2;
HR5397;SAO158558, HD126367;Triple;14h 25m 30s;-19°58,1';6,6;7,0;35,1
Iota Boo;SAO29071, HD125161, iot Boo, 21 Boo, HR5350, Asellus Secundus;Triple;14h 16m 10s;+51°22,0';4,8;8,2;38,7
Asellus Tertius;SAO29045, HD124674, kap Boo, 17 Boo, Kappa 2 Boo;Dbl;14h 13m 28s;+51°47,2';6,7;8,9;13,4
Cor Caroli;SAO63256, HD112412, alp CVn, 12 CVn,Cor Caroli, HR4914;Dbl;12h 56m 00s;+38°18,8';5,6;8,3;19,4
HD 112278;SAO 100337;Mult+Star+IRSrc;12h 55m 30s;+11°29,7';6,9;;
32 Com;SAO100309, HD111862, 32 Com, HR4884;Triple;12h 52m 12s;+17°04,4';6,3;6,9;196,5
HD 110932;SAO 100236;Mult+Star+UVSrc;12h 45m 26s;+14°22,4';7,2;;
HD 109556;SAO 157384;Mult+Star;12h 35m 44s;-12°01,4';7,9;;
24 Com;SAO100159, HD109510, 24 Com, HR4791;Dbl;12h 35m 06s;+18°22,6';6,6;8,1;20,2
Algorab;SAO157323, HD108767, del Crv, 7 Crv,Algorab, HR4757;Dbl;12h 29m 52s;-16°30,9';3,0;8,2;24,4
12 Com;SAO82273, HD107700, 12 Com, HR4707;Triple;12h 22m 30s;+25°50,7';4,8;8,5;65,3
HR4698;SAO82254, HD107398;Dbl;12h 20m 41s;+27°03,2';7,1;7,2;8,5
2 CVn;SAO44097, HD106690, 2 CVn, HR4666;Dbl;12h 16m 08s;+40°39,6';5,7;8,8;11,4
HD 105590;SAO 157111;Mult+Var Star+Star;12h 09m 29s;-11°51,4';6,6;;
HD 100054;SAO 28043;Mult+Star+UVSrc;11h 31m 19s;+59°42,0';7,3;;
Tau Leo;SAO118875, HD99648, tau Leo, 84 Leo, HR4418;Const;11h 27m 56s;+02°51,3';4,9;7,6;91,1
83 Leo;SAO118864, HD99491, 83 Leo, HR 4414;Triple;11h 26m 45s;+03°00,7';6,5;7,6;28,5
HR4363;SAO27970, HD97855;Dbl;11h 16m 04s;+52°46,3';6,5;8,2;12,7
HR 3963;SAO155704, HD87344;Triple;10h 04m 03s;-18°06,1';5,9;6,9;21,2
Tau 1 Hya;SAO136895, HD81997, tau Hya, 31 Hya,Ukdah, HR3759;Dbl;09h 29m 09s;-02°46,1';4,6;7,6;65,7
Alpha Lyn;SAO 61414, HD 80493, alp Lyn, 40 Lyn, HR 3705;Star;09h 21m 03s;+34°23,5';3,1;;
HD75646;TYC 1946-02159-1, SAO 80467;SpecBin+Mult+Star;08h 52m 00s;+25°43,1';7,5;;
HD 75353;SAO 61077,;Mult+Star+UVSrc;08h 50m 44s;+35°04,2';6,9;;
HD 73668;SAO 117000;Mult+Star;08h 39m 44s;+05°45,8';7,0;;
HR3395;SAO116929, HD72945;Mult;08h 35m 51s;+06°37,2';6,0;7,2;10,3
Tegmen;SAO97645, HD68256, zet Cnc, 16 Cnc, HR3209;Mult;08h 12m 13s;+17°38,8';6,0;6,4;0,9
2 Pup;SAO153363, HD62864, 2 Pup, HR3010;Triple;07h 45m 29s;-14°41,4';6,1;6,9;16,8
HR 2910;SAO174020, HD60585, N Pup;Dbl;07h 34m 19s;-23°28,4';5,9;5,9;9,6
19 Lyn;SAO26312, HD57103, 19 Lyn, HR 2784;Const;07h 22m 52s;+55°16,8';5,4;6,4;15,1
HR 2764;SAO173349, HD56577, Winter Albiero, 145CMa;Dbl;07h 16m 37s;-23°18,9';4,8;6,0;26,8
Mekbuda;SAO79031, HD52973, zet Gem, 43 Gem,Mekbuda;Mult;07h 04m 07s;+20°34,2';3,8;3,8;0,1
HD 51502;SAO 96325;Mult+Star+UVSrc;06h 58m 07s;+14°13,7';7,3;;
Beta Mon;SAO133316, HD45725, bet Mon, 11 Mon;Mult;06h 28m 49s;-07°02,0';4,6;5,1;7,1
Gamma Lep;SAO170759, HD38393, gam Lep, 13 Lep, Kursi al Jabbar;Triple;05h 44m 28s;-22°26,9';3,6;6,1;96,5
The Trapezium;SAO132314, HD37022, the Ori, 41 Ori,Trapezium;Mult;05h 35m 17s;-05°23,3';5,1;5,2;117,0
HR1887;SAO132301, HD36960;Dbl;05h 35m 03s;-06°00,1';4,8;5,7;36,2
Mintaka;SAO132220, HD36486, del Ori, 34 Ori,Mintaka;Triple;05h 32m 00s;-00°18,0';2,2;6,8;51,7
HD 34071;SAO 150258, TYC 5902-1722-1;Star+IRSrc;05h 14m 04s;-16°39,9';7,6;;
Rho Ori;SAO112528, HD33856, rho Ori, 17 Ori;Triple;05h 13m 17s;+02°51,6';4,5;8,4;6,9
Beta Cam;SAO13351, HD31910, bet Cam, 10 Cam;Triple;05h 03m 25s;+60°26,5';4,0;7,4;80,8
1 Cam;SAO24672, HD28446, 1 Cam;Triple;04h 32m 02s;+53°54,6';5,8;6,9;10,3
Phi Tau;52 Tau, Alkalbain 1, SAO 76558;Mult+Star+IRSrc;04h 20m 21s;+27°21,0';5,0;;
Keid;SAO131063, HD26965, omi Eri, 40 Eri,Keid;Mult;04h 15m 16s;-07°39,1';4,4;9,4;83,4
32 Eri;SAO130806, HD24555,;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
hr 1212;Triple;-02°57,2';;;6,8;;
HD 21700;HD 21700, SAO 75964;Mult+Star;03h 31m 03s;+27°43,8';7,4;;
Xi Sco;SAO159665, HD144069, xi Sco, HR5977;Mult;16h 04m 22s;-11°22,3';5,1;5,3;1,2
HD 144564;SAO 101922;Mult+Star;16h 06m 03s;+13°19,2';6,8;;
Rasalgethi;SAO102680, HD156014, alp Her, 64 Her,Rasalgethi, HR6406;Mult;17h 14m 39s;+14°23,4';3,5;5,7;4,9
100 Her;SAO85753, HD166045, 100 Her, HR6781;Mult;18h 07m 50s;+26°06,0';5,9;5,9;14,3
17 DraS;SAO30013, HD150117, 17 Dra, HR6185;Mult;16h 36m 14s;+52°55,4';5,1;5,1;90,3
Kuma;SAO30450, HD159560, nu Dra, 25 Dra, HR6555;Dbl;17h 32m 16s;+55°10,3';4,9;4,9;62,3
Dziban;SAO8890, HD162003, psi Dra, 31 Dra,Dziban, HR6636;Mult;17h 41m 56s;+72°08,9';4,6;5,8;30,2
41 Dra;SAO8996, HD166866, 41 Dra, HR6810;Triple;18h 00m 09s;+80°00,2';5,7;6,1;19,3
HR7083;SAO142661, HD174208;Triple;18h 49m 41s;-05°54,7';6,0;8,5;113,7
Epsilon 1 Lyr;SAO67310, HD173582, eps Lyr, 4 Lyr,Double Double, HR7051;Mult;18h 44m 20s;+39°40,1';5,1;5,1;209,3
;SAO67451, HD174638, bet Lyr, 10 Lyr,Sheliak, HR7106;Mult;18h 50m 05s;+33°21,7';3,5;8,6;45,7
HR7140;SAO67566, HD175635;Mult;18h 54m 52s;+33°58,1';6,0;7,0;45,4
HR7099;SAO104170, HD174569;Dbl;18h 50m 46s;+10°58,5';6,6;7,7;3,5
15 Aql;SAO142996, HD177463, 15 Aql, HR7225;Dbl;19h 04m 58s;-04°01,8';5,4;7,0;38,5
57 Aql;SAO143898, HD188293, 57 Aql, HR7593;Dbl;19h 54m 38s;-08°13,6';5,7;6,5;35,7
HR7294;SAO48193, HD179958;Mult;19h 12m 05s;+49°51,3';6,6;6,8;8,1
HR7529;SAO68805, HD186901;Mult;19h 45m 40s;+36°05,4';6,4;6,9;14,8
U Cyg;HD 193700, SAO 49479;Carbon+Mult+Var Star;20h 19m 37s;+47°53,6';5,9;;
61 Cyg;SAO70919, HD201091, 61 Cyg, HR8085;Mult;21h 06m 55s;+38°44,7';5,2;6,0;28,7
HD 200392;SAO 89397;Mult+Star;21h 02m 36s;+21°41,4';;;
HR8101;SAO89505, HD201671;Dbl;21h 10m 32s;+22°27,2';6,7;7,7;18,0
HD 183014;SAO 87218;Mult+Star+UVSrc;19h 26m 48s;+21°09,7';8,0;;
V340 Sge;SAO105104, HD185622, HR7475;Dbl;19h 39m 25s;+16°34,2';6,4;9,1;31,8
Theta Sge;SAO88276, HD191570, the Sge, 17 Sge, HR7705;Mult;20h 09m 57s;+20°54,9';6,5;7,1;83,9
HR8281;SAO33626, HD206267;Mult;21h 38m 58s;+57°29,3';5,6;7,8;11,8
HR8357;SAO33819, HD208095;Triple;21h 52m 01s;+55°47,8';5,7;6,7;18,3
Alkurhah;SAO19827, HD209790, xi Cep, 17 Cep,Kurhah, HR8417;Triple;22h 03m 47s;+64°37,6';4,3;6,3;7,7
Delta Cep;SAO34137, HD210745, zet Cep, 21 Cep, HR8465;Star;22h 10m 51s;+58°12,0';3,3;;
Kappa Cep;SAO9665, HD192907, kap Cep, 1 Cep, HR7750;Triple;20h 08m 53s;+77°42,6';4,4;8,2;7,3
Alpha 1 Cap;SAO163422, HD192876, alp Cap, 5 Cap, HR7747;Mult;20h 17m 39s;-12°30,4';4,2;4,6;377,7
Dabih;SAO163481, HD193495, bet Cap, 9 Cap,Dabih, HR7776;Mult;20h 21m 01s;-14°46,8';3,1;3,4;
Omicron Cap;SAO163625, HD195093, omi Cap, 12 Cap, HR7829;Dbl;20h 29m 53s;-18°35,2';6,7;7,5;21,9
HD 196411;SAO 106302;Mult+Star+UVSrc;20h 36m 49s;+14°43,7';8,3;;
Gamma 2 Del;SAO106475, HD197963, gam Del, 12 Del, HR7947;Dbl;20h 46m 39s;+16°07,4';5,1;6,1;9,8
3 Peg;SAO126940, HD205811, 3 Peg, HR8265;Triple;21h 37m 44s;+06°37,0';6,2;7,7;39,2
Epsilon Equ;SAO126428, HD199766, eps Equ, 1 Equ, HR8034;Mult;20h 59m 04s;+04°17,6';5,2;5,5;1,0
8 Lac;SAO72509, HD214168, 8 Lac, HR8603;Mult;22h 35m 52s;+39°38,0';5,7;6,4;22,4
10 Lac;SAO72575, HD214680, 10 Lac, HR8622;Dbl;22h 39m 16s;+39°03,0';4,9;10,1;62,2
WZ CAS;HD 224855, SAO 21002;Carbon+Mult+Var Star;00h 01m 16s;+60°21,3';7,1;;
HR9094;SAO10937, HD225009;Triple;00h 02m 36s;+66°05,9';5,9;7,4;15,2
Achird;SAO21732, HD4614, eta Cas, 24 Cas, HR219;Mult;00h 49m 06s;+57°49,0';3,4;7,4;11,6
Pi And;SAO54033, HD3369, pi And, 29 And, HR154;Triple;00h 36m 53s;+33°43,1';4,4;8,6;35,2
56 And;SAO55107, HD11749, 56 And, HR557;Mult;01h 56m 09s;+37°15,1';5,7;5,9;190,4
Almaak;SAO37734, HD12533, gam And, 57 And,Alamach, HR603;Mult;02h 03m 54s;+42°19,7';2,3;5,1;9,6
59 And;SAO55330, HD13294, 59 And, HR628;Dbl;02h 10m 53s;+39°02,3';5,6;6,4;16,2
77 Psc;SAO109666, HD6479, 77 Psc, HR313;Mult;01h 05m 49s;+04°54,4';6,3;7,3;33,0
Zeta Psc;SAO109793, HD7804, 89 Psc, HR378, Revati;Star;01h 17m 48s;+03°36,8';5,2;;
HD 3125;D 2, SAO 128831;Mult+Star+IRSrc;00h 34m 30s;-04°32,7';7,0;;
HD 9336;SAO 147861;Mult+Star+UVSrc;01h 31m 34s;-19°01,3';6,8;;
Nu Cet;SAO110635, HD16161, nu Cet, 78 Cet, HR754;Dbl;02h 35m 52s;+05°35,5';4,9;9,7;8,1
66 Cert;SAO129752, HD13612, 66 Cet, HR650;Triple;02h 12m 47s;-02°23,6';5,5;7,6;16,4
Mesarthim;SAO92680, HD11503, gam Ari, 5 Ari, Mesarthim, HR545;Triple;01h 53m 32s;+19°17,7';4,8;4,9;7,8
HD 13247;SAO 55321;Mult+Star+UVSrc;02h 10m 16s;+33°21,9';8,0;;
15 Tri;SAO55687, HD16058, 15 Tri, HR750;Dbl;02h 35m 47s;+34°41,2';5,3;6,6;141,3
Polaris;SAO308, HD8890, alp UMi, 1 UMi, Alrucaba, Polaris, HR424;Mult;02h 31m 49s;+89°15,8';2,0;8,8;18,4
Zeta Per;SAO56799, HD24398, zet Per, 44 Per, Atik, HR1203;Mult;03h 54m 08s;+31°53,0';2,8;9,4;12,9
miram;SAO23655, HD17506, eta Per, 15 Per, HR834;Mult;02h 50m 42s;+55°53,7';3,8;8,5;28,3