Vendor;Model;Optics;D (mm);D (inch);FL (mm);f/Ratio;Mag;"DL ("")";Min;Max;FF (°)
Stellarvue;80/9D;Refractor;80;3,1;750;9,4;12,2;1,4;11x;127x;
Stellarvue;80ED;Unknown;80;3,1;560;7;12,2;1,4;11x;127x;
Stellarvue;AT1010;Refractor;80;3,1;480;6;12,2;1,4;11x;127x;
Stellarvue;Little Rascal;Unknown;50;2;205;4,1;11,2;2,3;7x;79x;
Stellarvue;Nighthawk;Refractor;80;3,1;480;6;12,2;1,4;11x;127x;
Stellarvue;Nighthawk Next Gen;Unknown;80;3,1;560;7;12,2;1,4;11x;127x;
Stellarvue;SV 102ED;Refractor;102;4;710;7;12,7;1,1;14x;162x;
Stellarvue;SV 105;Refractor;105;4,1;735;7;12,8;1,1;14x;167x;
Stellarvue;SV 105T20;Unknown;115;4,5;800;7;13,0;1,0;15x;183x;
Stellarvue;SV 105T35;Unknown;115;4,5;800;7;13,0;1,0;15x;183x;
Stellarvue;SV 105T35;Unknown;115;4,5;800;7;13,0;1,0;15x;183x;
Stellarvue;SV 110ED-BV;Unknown;110;4,3;770;7;12,9;1,1;15x;175x;
Stellarvue;SV 115;Refractor;115;4,5;805;7;13,0;1,0;15x;183x;
Stellarvue;SV 130EDT;Refractor;130;5,1;910;7;13,3;0,9;17x;206x;
Stellarvue;SV 152;Refractor;152;6;1200;7,9;13,6;0,8;20x;241x;
Stellarvue;SV 160R;Refractor;160;6,3;1320;8,3;13,7;0,7;21x;254x;
Stellarvue;SV 4;Refractor;105;4,1;650;6,2;12,8;1,1;14x;167x;
Stellarvue;SV 80L;Refractor;80;3,1;600;7,5;12,2;1,4;11x;127x;
Stellarvue;SV 80S;Refractor;80;3,1;480;6;12,2;1,4;11x;127x;
Stellarvue;SV 90T;Unknown;90;3,5;630;7;12,5;1,3;12x;143x;
Stellarvue;SV 90TBV;Unknown;90;3,5;630;7;12,5;1,3;12x;143x;
Stellarvue;SV 90TF;Unknown;90;3,5;630;7;12,5;1,3;12x;143x;
Stellarvue;SV Raptor 105;Refractor;105;4,1;735;7;12,8;1,1;14x;167x;
Stellarvue;SV Raptor 70ED;Unknown;70;2,8;420;6;11,9;1,7;9x;111x;
Stellarvue;SV Raptor 90T;Unknown;90;3,5;630;7;12,5;1,3;12x;143x;
Takahashi;-250,00 BRC;Ritchey-Chretien;250;9,8;1268;5,1;14,7;0,5;33x;397x;6,3
Takahashi;CCA-250;Cassegrain;250;9,8;1247;5;14,7;0,5;33x;397x;
Takahashi;CN-212 (Cass);Cassegrain;212;8,3;2630;12,4;14,3;0,5;28x;337x;6,3
Takahashi;CN-212 (Newt);Newtonian;212;8,3;820;3,9;14,3;0,5;28x;337x;6,3
Takahashi;E-160;Newtonian;180;7,1;530;2,9;14,0;0,6;24x;286x;6,3
Takahashi;E-180;Newtonian;180;7,1;500;2,8;14,0;0,6;24x;286x;
Takahashi;E-210;Newtonian;210;8,3;628;3;14,3;0,6;28x;333x;6,3
Takahashi;E-250;Newtonian;250;9,8;854;3,4;14,7;0,5;33x;397x;4,2
Takahashi;E-300;Newtonian;300;11,8;1140;3,8;15,1;0,4;40x;476x;4,2
Takahashi;Epsilon 180;Newtonian;180;7,1;500;2,8;14,0;0,6;24x;286x;
Takahashi;Epsilon 250;Newtonian;250;9,8;850;3,4;14,7;0,5;33x;397x;
Takahashi;FCT-200;Refractor;200;7,9;2000;10;14,2;0,6;27x;317x;
Takahashi;FCT-250;Refractor;250;9,8;2500;10;14,7;0,5;33x;397x;
Takahashi;FRC-300;Ritchey-Chretien;300;11,8;2348;7,8;15,1;0,4;40x;476x;
Takahashi;FS-102;Refractor;102;4;820;8;12,7;1,1;14x;162x;6,3
Takahashi;FS-128;Refractor;128;5;1040;8,1;13,2;0,9;17x;203x;6,3
Takahashi;FS-152;Refractor;152;6;1216;8;13,6;0,8;20x;241x;6,3
Takahashi;FS-60C;Refractor;60;2,4;354;5,9;11,6;1,9;8x;95x;
Takahashi;FS-78;Refractor;78;3,1;630;8,1;12,2;1,5;10x;124x;8
Takahashi;FSQ-106;Refractor;106;4,2;530;5;12,8;1,1;14x;168x;
Takahashi;M-210;Dall-Kirkham;210;8,3;2415;11,5;14,3;0,6;28x;333x;
Takahashi;M-250;Dall-Kirkham;250;9,8;3000;12;14,7;0,5;33x;397x;6,3
Takahashi;M-300;Dall-Kirkham;300;11,8;3572;11,9;15,1;0,4;40x;476x;4,2
Takahashi;MT-130;Newtonian;130;5,1;795;6,1;13,3;0,9;17x;206x;8
Takahashi;MT-160;Newtonian;160;6,3;1000;6,3;13,7;0,7;21x;254x;6,3
Takahashi;MT-200;Newtonian;200;7,9;1200;6;14,2;0,6;27x;317x;6,3
Takahashi;Sky 90;Refractor;90;3,5;504;5,6;12,5;1,3;12x;143x;
Takahashi;TOA-130;Refractor;130;5,1;1000;7,7;13,3;0,9;17x;206x;
Takahashi;TOA-150;Refractor;150;5,9;1100;7,3;13,6;0,8;20x;238x;
Takahashi;TSA-102S;Refractor;102;4;816;8;12,7;1,1;14x;162x;
TAL;TAL-1;Newtonian;110;4,3;805;7,3;12,9;1,1;15x;175x;
TAL;TAL-100RS;Refractor;100;3,9;1000;10;12,7;1,2;13x;159x;
TAL;TAL-125R;Refractor;125;4,9;1124;9;13,2;0,9;17x;198x;
TAL;TAL-150K;Mak-Cassegrain;150;5,9;1550;10,3;13,6;0,8;20x;238x;
TAL;TAL-150P;Newtonian;150;5,9;750;5;13,6;0,8;20x;238x;
TAL;TAL-150P8;Newtonian;150;5,9;1200;8;13,6;0,8;20x;238x;
TAL;TAL-2;Newtonian;150;5,9;1200;8;13,6;0,8;20x;238x;
TAL;TAL-200K;Mak-Cassegrain;200;7,9;2000;10;14,2;0,6;27x;317x;
TAL;TAL-250K;Mak-Cassegrain;250;9,8;2130;8,5;14,7;0,5;33x;397x;
Taurus;Taurus T300 12″;Newtonian;302;12;1500;5;14,2;0,4;41x;484x;
Taurus;Taurus T350 14″;Newtonian;353;13,8;1700;4,8;14,5;0,3;47x;556x;
Taurus;Taurus T400 16″;Newtonian;403;15,7;1800;4,5;14,8;0,3;53x;635x;
Taurus;Taurus T500 20″;Newtonian;504;19,7;2150;4,2;15,3;0,2;67x;794x;
TEC;APO 140;Refractor;140;5,5;980;7;13,4;0,8;19x;222x;
TEC;APO 160 Fluorit;Refractor;160;6,3;1280;8;13,7;0,7;21x;254x;
TEC;APO 180 Fluorit;Refractor;180;7,1;1260;7;14,0;0,6;24x;286x;
TEC;APO 200;Refractor;200;7,9;1800;9;14,2;0,6;27x;317x;
TEC;APO 200 Fluorit;Refractor;200;7,9;1800;9;14,2;0,6;27x;317x;
TEC;MC 200/15;Mak-Cassegrain;200;7,9;3150;15,8;14,2;0,6;27x;317x;
TEC;MC 250/12;Mak-Cassegrain;250;9,8;3000;12;14,7;0,5;33x;397x;
TEC;MC 250/20;Mak-Cassegrain;250;9,8;5000;20;14,7;0,5;33x;397x;
Tele Vue;NP 101;Refractor;101;4;540;5,3;12,7;1,1;13x;160x;
Tele Vue;NP 127;Refractor;127;5;660;5,2;13,2;0,9;17x;202x;
Tele Vue;Pronto;Refractor;70;2,8;480;6,9;11,9;1,7;9x;111x;
Tele Vue;Ranger;Refractor;70;2,8;480;6,9;11,9;1,7;9x;111x;
Tele Vue;TV 102;Refractor;102;4;880;8,6;12,7;1,1;14x;162x;
Tele Vue;TV-60;Refractor;60;2,4;361;6;11,6;1,9;8x;95x;
Tele Vue;TV-76;Refractor;76;3;480;6,3;12,1;1,5;10x;121x;
Tele Vue;TV-85;Refractor;85;3,3;600;7,1;12,3;1,4;11x;135x;
Teleskop;INED70;Refractor;70;2,8;420;6;11,9;1,7;9x;111x;
Teleskop;ONTC808;Newtonian;203;8;800;3,9;14,2;0,6;27x;322x;
Teleskop;Starscope767;Newtonian;76;3;700;9,2;12,1;1,5;10x;121x;
Teleskop;TLAPO804;Refractor;80;3,1;480;6;12,2;1,4;11x;127x;
Teleskop;TSAPO100Q;Refractor;100;3,9;580;5,8;12,7;1,2;13x;159x;
Teleskop;TSAPO107C;Refractor;107;4,2;700;6,5;12,8;1,1;14x;170x;
Teleskop;TSAPO71Q;Refractor;71;2,8;347;4,9;12,0;1,6;9x;113x;
Teleskop;UNC1506;Newtonian;150;5,9;600;4;13,6;0,8;20x;238x;
Teleskop;UNC1507;Newtonian;150;5,9;750;5;13,6;0,8;20x;238x;
Teleskop;UNC1507;Newtonian;150;5,9;750;5;13,6;0,8;20x;238x;
Teleskop;UNC1509;Newtonian;150;5,9;900;6;13,6;0,8;20x;238x;
Teleskop;UNC20010;Newtonian;200;7,9;1000;5;14,2;0,6;27x;317x;
Teleskop;UNC20012;Newtonian;200;7,9;1200;6;14,2;0,6;27x;317x;
Teleskop;UNC20012;Newtonian;200;7,9;1200;6;14,2;0,6;27x;317x;
Teleskop;UNC2008;Newtonian;200;7,9;800;4;14,2;0,6;27x;317x;
Teleskop;UNC25410;Newtonian;254;10;1000;3,9;14,7;0,5;34x;403x;
Teleskop;UNC25412;Newtonian;254;10;1250;4,9;14,7;0,5;34x;403x;
Teleskop;UNC2541EQ6;Newtonian;254;10;1000;3,9;14,7;0,5;34x;403x;
Teleskop;UNC30512;Newtonian;305;12;1200;3,9;15,1;0,4;41x;484x;
Teleskop;UNC30515;Newtonian;305;12;1500;4,9;15,1;0,4;41x;484x;
TMB;TMB 100 f/8;Refractor;100;3,9;800;8;12,7;1,2;13x;159x;
TMB;TMB 105 f/6.2;Refractor;105;4,1;650;6,2;12,8;1,1;14x;167x;
TMB;TMB 115 f/7;Refractor;115;4,5;805;7;13,0;1,0;15x;183x;
TMB;TMB 130 f/6;Refractor;130;5,1;780;6;13,3;0,9;17x;206x;
TMB;TMB 130SS;Refractor;130;5,1;910;7;13,3;0,9;17x;206x;
TMB;TMB 152 f/7.9;Refractor;152;6;1200;7,9;13,6;0,8;20x;241x;
TMB;TMB 175 f/8;Refractor;175;6,9;1400;8;13,9;0,7;23x;278x;
TMB;TMB 203 f/9;Refractor;203;8;1800;8,9;14,2;0,6;27x;322x;
TMB;TMB 229 f/9;Refractor;229;9;2025;8,8;14,5;0,5;31x;363x;
TMB;TMB 254 f/9;Refractor;254;10;2286;9;14,7;0,5;34x;403x;
TMB;TMB 304 f/10;Refractor;304;12;3040;10;15,1;0,4;41x;483x;
TMB;TMB 356 f/12;Refractor;356;14;4272;12;15,5;0,3;47x;565x;
TMB;TMB 80 f/6;Refractor;80;3,1;480;6;12,2;1,4;11x;127x;
TMB;TMB 80 f/7.5;Refractor;80;3,1;600;7,5;12,2;1,4;11x;127x;
TMB;TMB 80SS;Refractor;80;3,1;504;6,3;12,2;1,4;11x;127x;
TMB;TMB 92SS;Refractor;92;3,6;506;5,5;12,5;1,3;12x;146x;
TS-Optics;50mm f6.6 APO;Refractor;50;2;330;6,6;11,2;2,3;7x;79x;
TS-Optics;ED 102mm f/7;Refractor;102;4;714;7;12,7;1,1;14x;162x;
TS-Optics;ED 110mm f/7;Refractor;110;4,3;770;7;12,9;1,1;15x;175x;
TS-Optics;ED 70mm f/6 Travel APO;Refractor;70;2,8;420;6;11,9;1,7;9x;111x;
TS-Optics;ED 80mm f/7;Refractor;80;3,1;560;7;12,2;1,4;11x;127x;
TS-Optics;Imaging Star 100mm f/5.8;Refractor;100;3,9;580;5,8;12,7;1,2;13x;159x;
TS-Optics;Imaging Star 102mm f/5.1;Refractor;102;4;520.2;5,1;12,7;1,1;14x;162x;
TS-Optics;Imaging Star 130mm f/5;Refractor;130;5,1;650;5;13,3;0,9;17x;206x;
TS-Optics;Imaging Star 65mm f/6.5;Refractor;65;2,6;422.5;6,5;11,8;1,8;9x;103x;
TS-Optics;Imaging Star 70mm f/6.78;Refractor;70;2,8;474.6;6,8;11,9;1,7;9x;111x;
TS-Optics;Imaging Star 71mm f/4.9;Refractor;71;2,8;347.9;4,9;12,0;1,6;9x;113x;
TS-Optics;Imaging Star 80mm f/4.4;Refractor;80;3,1;352;4,4;12,2;1,4;11x;127x;
TS-Optics;Megastar 150/1400mm;Newtonian;150;5,9;1400;9,3;13,6;0,8;20x;238x;
TS-Optics;Newtonian 114/900mm;Newtonian;114;4,5;900;7,9;13,0;1,0;15x;181x;
TS-Optics;Newtonian 76/700mm;Newtonian;76;3;700;9,2;12,1;1,5;10x;121x;
TS-Optics;Photoline 102mm f/7 APO;Refractor;102;4;714;7;12,7;1,1;14x;162x;
TS-Optics;Photoline 107mm f/6.5 APO;Refractor;107;4,2;695.5;6,5;12,8;1,1;14x;170x;
TS-Optics;Photoline 115mm f/6.96 APO;Refractor;115;4,5;800.4;7;13,0;1,0;15x;183x;
TS-Optics;Photoline 130mm f/6.62 APO;Refractor;130;5,1;860.6;6,6;13,3;0,9;17x;206x;
TS-Optics;Photoline 130mm f/7 APO;Refractor;130;5,1;910;7;13,3;0,9;17x;206x;
TS-Optics;Photoline 150mm f/6.6 APO;Refractor;150;5,9;990;6,6;13,6;0,8;20x;238x;
TS-Optics;Photoline 60mm f/5.5 APO;Refractor;60;2,4;330;5,5;11,6;1,9;8x;95x;
TS-Optics;Photoline 70mm f/6 APO;Refractor;70;2,8;420;6;11,9;1,7;9x;111x;
TS-Optics;Photoline 72mm f/5.5 APO;Refractor;72;2,8;396;5,5;12,0;1,6;10x;114x;
TS-Optics;Photoline 80mm f/6 APO;Refractor;80;3,1;480;6;12,2;1,4;11x;127x;
TS-Optics;Photoline 80mm f/6.25 APO;Refractor;80;3,1;500;6,3;12,2;1,4;11x;127x;
TS-Optics;Photoline 80mm f/7 APO;Refractor;80;3,1;560;7;12,2;1,4;11x;127x;
TS-Optics;Photoline 90mm f/6.6 APO;Refractor;90;3,5;594;6,6;12,5;1,3;12x;143x;
TS-Optics;Starscope 130/650mm;Newtonian;130;5,1;650;5;13,3;0,9;17x;206x;
TS-Optics;Starscope 60/900mm;Refractor;60;2,4;900;15;11,6;1,9;8x;95x;
TS-Optics;Starscope 70/700mm;Refractor;70;2,8;700;10;11,9;1,7;9x;111x;
TS-Optics;Starscope 70/900mm;Refractor;70;2,8;900;12,9;11,9;1,7;9x;111x;
TS-Optics;Starscope 80/900mm;Refractor;80;3,1;900;11,3;12,2;1,4;11x;127x;
Unistellar;Equinox 2;Newtonian;113;4,4;450;4;13,0;1,0;15x;179x;
Unistellar;EVScope 2;Newtonian;113;4,4;450;4;13,0;1,0;15x;179x;
Unistellar;Odyssey;Newtonian;85;3,3;85;1;12,3;1,4;11x;135x;
Unistellar;Odyssey Pro;Newtonian;85;3,3;320;3,8;12,3;1,4;11x;135x;
Vaonis;Vespera;Refractor;50;2;200;4;11,2;2,3;7x;79x;
Vaonis;Vespera;Refractor;50;2;200;4;11,2;2,3;7x;79x;
Vaonis;Vespera II;Refractor;50;2;250;5;11,2;2,3;7x;79x;
Vaonis;Vespera II;Refractor;50;2;250;5;11,2;2,3;7x;79x;
Vaonis;Vespera Pro;Refractor;50;2;250;5;11,2;2,3;7x;79x;
Vaonis;Vespera Pro;Refractor;50;2;250;5;11,2;2,3;7x;79x;
Vernonscope;Brandon 94mm;Refractor;94;3,7;640;6,8;12,6;1,2;13x;149x;
Vixen;102M;Refractor;102;4;1000;9,8;12,7;1,1;14x;162x;
Vixen;80M;Refractor;80;3,1;910;11,4;12,2;1,4;11x;127x;
Vixen;DED108SS;Refractor;108;4,3;540;5;12,9;1,1;14x;171x;
Vixen;ED102S;Refractor;102;4;920;9;12,7;1,1;14x;162x;
Vixen;ED102SS;Refractor;102;4;660;6,5;12,7;1,1;14x;162x;
Vixen;ED114SS;Refractor;114;4,5;600;5,3;13,0;1,0;15x;181x;
Vixen;ED130SS;Refractor;130;5,1;860;6,6;13,3;0,9;17x;206x;
Vixen;ED80S;Refractor;80;3,1;720;9;12,2;1,4;11x;127x;
Vixen;ED80SF;Refractor;80;3,1;600;7,5;12,2;1,4;11x;127x;
Vixen;FL102S;Refractor;102;4;920;9;12,7;1,1;14x;162x;
Vixen;FL80S;Refractor;80;3,1;640;8;12,2;1,4;11x;127x;
Vixen;NA120S;Refractor;120;4,7;800;6,7;13,1;1,0;16x;190x;
Vixen;NA130SS;Refractor;130;5,1;800;6,2;13,3;0,9;17x;206x;
Vixen;R114M;Newtonian;114;4,5;900;7,9;13,0;1,0;15x;181x;
Vixen;R130S;Newtonian;130;5,1;720;5,5;13,3;0,9;17x;206x;
Vixen;R150S;Newtonian;150;5,9;750;5;13,6;0,8;20x;238x;
Vixen;R200SS;Newtonian;200;7,9;800;4;14,2;0,6;27x;317x;
Vixen;Skypod;Refractor;110;4,3;1035;9,4;12,9;1,1;15x;175x;
Vixen;VC200L;Cassegrain;200;7,9;1800;9;14,2;0,6;27x;317x;
Vixen;VMC200L;Schmidt-Cassegrain;200;7,9;1950;9,8;14,2;0,6;27x;317x;
William Optics;FLT 110;Refractor;110;4,3;770;7;12,9;1,1;15x;175x;
William Optics;FLT 110 DDG;Refractor;110;4,3;770;7;12,9;1,1;15x;175x;
William Optics;FLT 132;Refractor;132;5,2;925;7;13,3;0,9;18x;210x;
William Optics;FLT 151;Refractor;151;5,9;998;6,6;13,6;0,8;20x;240x;
William Optics;FLT 152;Refractor;152;6;1200;7,9;13,6;0,8;20x;241x;
William Optics;FLT 158;Refractor;158;6,2;1121;7,1;13,7;0,7;21x;251x;
William Optics;FLT 98;Refractor;98;3,9;618;6,3;12,7;1,2;13x;156x;
William Optics;FLT 98 DDG;Refractor;98;3,9;618;6,3;12,7;1,2;13x;156x;
William Optics;Gran Turismo 102 FD;Refractor;102;4;704;6,9;12,7;1,1;14x;162x;
William Optics;Gran Turismo 153 FD;Refractor;153;6;1193;7,8;13,6;0,8;20x;243x;
William Optics;Gran Turismo 71 FD;Refractor;71;2,8;420;5,9;12,0;1,6;9x;113x;
William Optics;Gran Turismo 81 FD;Refractor;81;3,2;478;5,9;12,2;1,4;11x;129x;
William Optics;GTF 102;Refractor;102;4;703;6,9;12,7;1,1;14x;162x;
William Optics;GTF 81;Refractor;81;3,2;478;5,9;12,2;1,4;11x;129x;
William Optics;Megrez 110;Refractor;110;4,3;655;6;12,9;1,1;15x;175x;
William Optics;Megrez 66;Refractor;66;2,6;416;6,3;11,8;1,8;9x;105x;
William Optics;Megrez 66 APO;Refractor;66;2,6;462;7;11,8;1,8;9x;105x;
William Optics;Megrez 72;Refractor;72;2,8;432;6;12,0;1,6;10x;114x;
William Optics;Megrez 80;Refractor;80;3,1;480;6;12,2;1,4;11x;127x;
William Optics;Megrez 80 II ED;Refractor;80;3,1;560;7;12,2;1,4;11x;127x;
William Optics;Megrez 80 II SD;Refractor;80;3,1;500;6,3;12,2;1,4;11x;127x;
William Optics;Megrez 80/600;Refractor;80;3,1;600;7,5;12,2;1,4;11x;127x;
William Optics;Megrez 88;Refractor;88;3,5;498;5,7;12,4;1,3;12x;140x;
William Optics;Megrez 90;Refractor;90;3,5;621;6,9;12,5;1,3;12x;143x;
William Optics;Phoenix 80s;Refractor;80;3,1;480;6;12,2;1,4;11x;127x;
William Optics;RedCat 51;Refractor;51;2;250;4,9;11,2;2,3;7x;81x;
William Optics;ZenithStar 103 APO;Refractor;103;4,1;710;6,9;12,8;1,1;14x;163x;
William Optics;ZenithStar 103 APO;Refractor;103;4,1;710;6,9;12,8;1,1;14x;163x;
William Optics;ZenithStar 110;Refractor;110;4,3;770;7;12,9;1,1;15x;175x;
William Optics;ZenithStar 61 APO;Refractor;61;2,4;360;5,9;11,6;1,9;8x;97x;
William Optics;ZenithStar 66;Refractor;66;2,6;410;6,2;11,8;1,8;9x;105x;
William Optics;ZenithStar 66 Petzval ED;Refractor;66;2,6;400;6,1;11,8;1,8;9x;105x;
William Optics;ZenithStar 66 SD;Refractor;66;2,6;388;5,9;11,8;1,8;9x;105x;
William Optics;ZenithStar 70;Refractor;70;2,8;430;6,1;11,9;1,7;9x;111x;
William Optics;ZenithStar 71 ED;Refractor;71;2,8;418;5,9;12,0;1,6;9x;113x;
William Optics;ZenithStar 73 APO;Refractor;73;2,9;430;5,9;12,0;1,6;10x;116x;
William Optics;ZenithStar 80;Refractor;80;3,1;480;6;12,2;1,4;11x;127x;
William Optics;ZenithStar 80 FD;Refractor;80;3,1;555;6,9;12,2;1,4;11x;127x;
William Optics;ZenithStar 80 II ED;Refractor;80;3,1;545;6,8;12,2;1,4;11x;127x;
Zhumell;Aurora 70;Refractor;70;2,8;900;12,9;11,9;1,7;9x;111x;
Zhumell;Eclipse 114;Newtonian;114;4,5;1000;8,8;13,0;1,0;15x;181x;
Zhumell;Z10;Newtonian;254;10;1249.9;4,9;14,7;0,5;34x;403x;
Zhumell;Z12;Newtonian;304;12;1499.9;4,9;15,1;0,4;41x;483x;
Zhumell;Z8;Newtonian;203;8;1199.9;5,9;14,2;0,6;27x;322x;
Zhumell;Zenith 60x600;Refractor;60;2,4;600;10;11,6;1,9;8x;95x;
Zhumell;Zenith 60x600;Refractor;60;2,4;600;10;11,6;1,9;8x;95x;
ZWO;FF107 - APO;Refractor;107;4,2;749;7;12,8;1,1;14x;170x;
ZWO;FF130 - APO;Refractor;130;5,1;1000;7,7;13,3;0,9;17x;206x;
ZWO;FF65 - APO;Refractor;65;2,6;416;6,4;11,8;1,8;9x;103x;
ZWO;FF80 - APO;Refractor;80;3,1;600;7,5;12,2;1,4;11x;127x;
ZWO;Seestar S30;Refractor;30;1,2;150;5;10,1;3,9;4x;48x;
ZWO;Seestar S50;Refractor;50;2;250;5;11,2;2,3;7x;79x;